Epoch,Batch Size,Learning Rate,Optimizer,Train Loss,Test Loss,Val Loss,Train Acc,Test Acc,Val Acc,Train Precision,Test Precision,Val Precision,Train Recall,Test Recall,Val Recall,Train F1 Score,Test F1 Score,Val F1 Score,Train ROC AUC,Test ROC AUC,Val ROC AUC,Train RMSE,Test RMSE,Val RMSE
1,8,0.01,LAMB,1.2093,1.1089,1.1236,0.3307,0.4,0.372,0.3298,0.16,0.1383,0.3307,0.4,0.372,0.3298,0.2286,0.2017,0.4969,0.4932,0.5089,1.1395,1.206,1.242
2,8,0.01,LAMB,1.1129,1.1036,1.1019,0.3316,0.3152,0.3232,0.3098,0.0993,0.1044,0.3316,0.3152,0.3232,0.2998,0.151,0.1579,0.4859,0.5724,0.5044,1.0947,0.8276,0.8227
3,8,0.01,LAMB,1.1071,1.0928,1.0988,0.3333,0.4,0.372,0.3314,0.16,0.1383,0.3333,0.4,0.372,0.331,0.2286,0.2017,0.4854,0.5011,0.5103,1.1269,1.206,1.242
4,8,0.01,LAMB,1.1057,1.095,1.0967,0.3194,0.4,0.372,0.3189,0.16,0.1383,0.3194,0.4,0.372,0.3085,0.2286,0.2017,0.4781,0.458,0.5012,1.1261,1.206,1.242
5,8,0.01,LAMB,1.1019,1.1061,1.1055,0.3455,0.3152,0.3232,0.3474,0.0993,0.1044,0.3455,0.3152,0.3232,0.3363,0.151,0.1579,0.5042,0.4636,0.5196,1.1513,0.8276,0.8227
6,8,0.01,LAMB,1.1008,1.1041,1.1029,0.342,0.2848,0.3049,0.3334,0.0811,0.093,0.342,0.2848,0.3049,0.3007,0.1263,0.1425,0.515,0.462,0.4704,1.0039,1.3839,1.3457
7,8,0.01,LAMB,1.1024,1.0931,1.0965,0.329,0.4,0.372,0.3288,0.16,0.1383,0.329,0.4,0.372,0.3255,0.2286,0.2017,0.4974,0.5395,0.4467,1.1819,1.206,1.242
8,8,0.01,LAMB,1.1013,1.1018,1.1008,0.3525,0.2909,0.2988,0.3265,0.1755,0.1845,0.3525,0.2909,0.2988,0.3028,0.2177,0.2261,0.4933,0.5155,0.4998,1.1346,1.0531,1.0806
9,8,0.01,LAMB,1.1027,1.0955,1.0976,0.3185,0.3152,0.3232,0.3202,0.0993,0.1044,0.3185,0.3152,0.3232,0.3086,0.151,0.1579,0.4809,0.5884,0.4677,1.1652,0.8276,0.8227
10,8,0.01,LAMB,1.1013,1.0989,1.0993,0.3203,0.3152,0.3232,0.2991,0.0993,0.1044,0.3203,0.3152,0.3232,0.2787,0.151,0.1579,0.468,0.5228,0.4688,1.0892,0.8276,0.8227
11,8,0.01,LAMB,1.1,1.0942,1.0964,0.342,0.4,0.372,0.3371,0.16,0.1383,0.342,0.4,0.372,0.3254,0.2286,0.2017,0.5036,0.5443,0.4722,1.073,1.206,1.242
12,8,0.01,LAMB,1.1011,1.0945,1.0965,0.3342,0.4,0.372,0.3315,0.16,0.1383,0.3342,0.4,0.372,0.3251,0.2286,0.2017,0.4918,0.4902,0.4983,1.1437,1.206,1.242
13,8,0.01,LAMB,1.1007,1.0937,1.096,0.3438,0.4,0.372,0.3329,0.16,0.1383,0.3438,0.4,0.372,0.3262,0.2286,0.2017,0.4891,0.4834,0.506,1.0939,1.206,1.242
14,8,0.01,LAMB,1.1009,1.1004,1.1,0.3455,0.2848,0.3049,0.3474,0.0811,0.093,0.3455,0.2848,0.3049,0.3387,0.1263,0.1425,0.5032,0.4872,0.4865,1.1144,1.3839,1.3457
15,8,0.01,LAMB,1.1019,1.0924,1.0958,0.3194,0.4,0.372,0.312,0.16,0.1383,0.3194,0.4,0.372,0.3011,0.2286,0.2017,0.4732,0.4839,0.5048,1.1038,1.206,1.242
16,8,0.01,LAMB,1.1011,1.1024,1.101,0.3255,0.3152,0.3232,0.3164,0.0993,0.1044,0.3255,0.3152,0.3232,0.2791,0.151,0.1579,0.482,0.4492,0.5137,1.2192,0.8276,0.8227
17,8,0.01,LAMB,1.1002,1.0945,1.0965,0.3333,0.4,0.372,0.2866,0.16,0.1383,0.3333,0.4,0.372,0.2711,0.2286,0.2017,0.4949,0.4532,0.4705,0.9899,1.206,1.242
18,8,0.01,LAMB,1.1006,1.0982,1.099,0.3333,0.3152,0.3232,0.33,0.0993,0.1044,0.3333,0.3152,0.3232,0.3225,0.151,0.1579,0.4852,0.5045,0.4913,1.1611,0.8276,0.8227
19,8,0.01,LAMB,1.1003,1.098,1.0982,0.3429,0.4,0.372,0.3463,0.16,0.1383,0.3429,0.4,0.372,0.2986,0.2286,0.2017,0.4942,0.4763,0.4995,0.9996,1.206,1.242
20,8,0.01,LAMB,1.1007,1.0957,1.0969,0.3037,0.4,0.372,0.2983,0.16,0.1383,0.3037,0.4,0.372,0.2909,0.2286,0.2017,0.4763,0.4843,0.5316,1.2153,1.206,1.242
21,8,0.01,LAMB,1.0988,1.0964,1.0975,0.3359,0.3576,0.3384,0.3351,0.3352,0.3199,0.3359,0.3576,0.3384,0.2755,0.2563,0.2138,0.4882,0.4864,0.5456,1.0526,0.8457,0.8245
22,8,0.01,LAMB,1.0984,1.0958,1.0972,0.3307,0.3636,0.375,0.3315,0.2299,0.2534,0.3307,0.3636,0.375,0.2701,0.2588,0.2675,0.4998,0.4962,0.5431,1.0649,1.1677,1.1804
23,8,0.01,LAMB,1.0983,1.0961,1.0974,0.3577,0.3152,0.3232,0.4026,0.0993,0.1044,0.3577,0.3152,0.3232,0.292,0.151,0.1579,0.503,0.5055,0.5436,1.0706,0.8276,0.8227
24,8,0.01,LAMB,1.0986,1.0963,1.0973,0.342,0.3152,0.3232,0.2335,0.0993,0.1044,0.342,0.3152,0.3232,0.277,0.151,0.1579,0.4886,0.4972,0.5448,1.0706,0.8276,0.8227
25,8,0.01,LAMB,1.0986,1.0957,1.0972,0.3246,0.3333,0.3506,0.2221,0.2474,0.2467,0.3246,0.3333,0.3506,0.2634,0.2821,0.2885,0.4844,0.5074,0.5474,1.0505,0.9878,1.0256
26,8,0.01,LAMB,1.0983,1.0962,1.0973,0.329,0.3152,0.3232,0.2256,0.0993,0.1044,0.329,0.3152,0.3232,0.2676,0.151,0.1579,0.5,0.4898,0.538,1.0509,0.8276,0.8227
27,8,0.01,LAMB,1.0991,1.0961,1.0973,0.3333,0.3333,0.2988,0.2269,0.2875,0.1555,0.3333,0.3333,0.2988,0.2674,0.2189,0.164,0.4786,0.5136,0.5469,1.0376,0.8599,0.8695
28,8,0.01,LAMB,1.0983,1.0957,1.0972,0.3516,0.3818,0.378,0.24,0.2638,0.2642,0.3516,0.3818,0.378,0.283,0.2984,0.2934,0.4979,0.5172,0.5407,1.0262,1.1362,1.1635
29,8,0.01,LAMB,1.0978,1.0951,1.0969,0.3446,0.4,0.372,0.5507,0.16,0.1383,0.3446,0.4,0.372,0.2739,0.2286,0.2017,0.5072,0.5125,0.5455,1.1253,1.206,1.242
30,8,0.01,LAMB,1.0979,1.0955,1.097,0.3429,0.3939,0.3811,0.2347,0.1595,0.4628,0.3429,0.3939,0.3811,0.2787,0.2271,0.2208,0.508,0.5305,0.5535,1.0641,1.201,1.2384
31,8,0.01,LAMB,1.0996,1.0953,1.0972,0.3142,0.3152,0.3232,0.215,0.0993,0.1044,0.3142,0.3152,0.3232,0.254,0.151,0.1579,0.4701,0.5335,0.538,1.038,0.8276,0.8227
32,8,0.01,LAMB,1.0984,1.0964,1.0972,0.3551,0.3455,0.3171,0.243,0.3036,0.2257,0.3551,0.3455,0.3171,0.2885,0.2317,0.209,0.4931,0.5466,0.5303,1.0447,0.8634,0.8852
33,8,0.01,LAMB,1.0975,1.095,1.0971,0.349,0.4,0.3628,0.2379,0.2791,0.2488,0.349,0.4,0.3628,0.2802,0.3214,0.2816,0.5192,0.5295,0.5302,1.0951,1.0954,1.1582
