Epoch,Batch Size,Learning Rate,Optimizer,Train Loss,Test Loss,Val Loss,Train Acc,Test Acc,Val Acc,Train Precision,Test Precision,Val Precision,Train Recall,Test Recall,Val Recall,Train F1 Score,Test F1 Score,Val F1 Score,Train ROC AUC,Test ROC AUC,Val ROC AUC,Train RMSE,Test RMSE,Val RMSE
1,8,0.01,AdamW,1.2477,1.1163,1.1207,0.3385,0.353,0.3488,0.3374,0.2889,0.2594,0.3385,0.353,0.3488,0.3375,0.2334,0.2182,0.501,0.5202,0.5021,1.1491,1.2306,1.2367
2,8,0.01,AdamW,1.1111,1.0985,1.0992,0.3333,0.338,0.3398,0.3305,0.3272,0.2884,0.3333,0.338,0.3398,0.3286,0.1733,0.1738,0.5004,0.5069,0.5022,1.1402,1.2577,1.2656
3,8,0.01,AdamW,1.1088,1.1257,1.1277,0.3404,0.356,0.3461,0.3353,0.1268,0.1199,0.3404,0.356,0.3461,0.332,0.1869,0.1781,0.5017,0.5025,0.4968,1.1249,0.8025,0.8086
4,8,0.01,AdamW,1.1188,1.1076,1.1057,0.3437,0.3367,0.3395,0.3417,0.1134,0.1152,0.3437,0.3367,0.3395,0.3396,0.1697,0.1721,0.5031,0.4816,0.5087,1.13,1.2589,1.2661
5,8,0.01,AdamW,1.1245,1.1568,1.1616,0.3375,0.356,0.3464,0.3338,0.1268,0.12,0.3375,0.356,0.3464,0.3329,0.1869,0.1782,0.5053,0.5041,0.5006,1.134,0.8025,0.8085
1,8,0.01,LAMB,1.1145,1.1018,1.1024,0.3353,0.3367,0.3395,0.3301,0.1134,0.1152,0.3353,0.3367,0.3395,0.3216,0.1697,0.1721,0.4944,0.5182,0.4852,1.1145,1.2589,1.2661
2,8,0.01,LAMB,1.0991,1.1036,1.1029,0.3505,0.3367,0.3395,0.3351,0.1134,0.1152,0.3505,0.3367,0.3395,0.3027,0.1697,0.1721,0.5079,0.5112,0.4945,1.1088,1.2589,1.2661
3,8,0.01,LAMB,1.0996,1.0993,1.1002,0.3491,0.3367,0.3395,0.346,0.1134,0.1152,0.3491,0.3367,0.3395,0.3183,0.1697,0.1721,0.5004,0.5153,0.5067,1.1455,1.2589,1.2661
4,8,0.01,LAMB,1.0992,1.0975,1.098,0.344,0.3602,0.3398,0.3315,0.255,0.2274,0.344,0.3602,0.3398,0.2964,0.2781,0.2542,0.4979,0.5059,0.488,1.1431,0.9038,0.9524
5,8,0.01,LAMB,1.0989,1.0993,1.0992,0.3469,0.3367,0.3395,0.3207,0.1134,0.1152,0.3469,0.3367,0.3395,0.2912,0.1697,0.1721,0.5028,0.5022,0.5043,1.1185,1.2589,1.2661
1,8,0.001,AdamW,1.1453,1.2594,1.2501,0.3308,0.3036,0.315,0.3284,0.1588,0.2108,0.3308,0.3036,0.315,0.3279,0.1533,0.1676,0.4977,0.5041,0.5016,1.1471,1.3105,1.3041
2,8,0.001,AdamW,1.1243,1.0984,1.0995,0.3468,0.353,0.3452,0.3446,0.2065,0.3534,0.3468,0.353,0.3452,0.344,0.1959,0.1975,0.5104,0.4965,0.4947,1.1299,0.8221,0.8296
3,8,0.001,AdamW,1.1162,1.1015,1.1041,0.3319,0.344,0.3437,0.3276,0.4644,0.4055,0.3319,0.344,0.3437,0.3262,0.2064,0.2053,0.4974,0.5398,0.5065,1.1409,1.2365,1.2457
4,8,0.001,AdamW,1.1115,1.1175,1.119,0.3409,0.3367,0.3395,0.3366,0.1134,0.1152,0.3409,0.3367,0.3395,0.3354,0.1697,0.1721,0.502,0.5047,0.4904,1.1333,1.2589,1.2661
5,8,0.001,AdamW,1.1071,1.0981,1.0993,0.3432,0.3554,0.3422,0.3388,0.2773,0.2339,0.3432,0.3554,0.3422,0.3344,0.2499,0.2322,0.5013,0.5017,0.5163,1.1279,1.2156,1.2102
1,8,0.001,LAMB,1.1329,1.0991,1.1009,0.3284,0.3392,0.3292,0.3266,0.2185,0.2153,0.3284,0.3392,0.3292,0.3259,0.2657,0.2603,0.496,0.5342,0.5202,1.138,1.2551,1.2822
2,8,0.001,LAMB,1.1081,1.0954,1.0991,0.3402,0.3566,0.3573,0.3373,0.2601,0.2477,0.3402,0.3566,0.3573,0.3352,0.2774,0.2719,0.4982,0.5313,0.5098,1.141,1.1712,1.156
3,8,0.001,LAMB,1.1007,1.1043,1.1085,0.3486,0.356,0.3464,0.3445,0.1268,0.12,0.3486,0.356,0.3464,0.3402,0.1869,0.1782,0.5153,0.5402,0.5297,1.1266,0.8025,0.8085
4,8,0.001,LAMB,1.0982,1.0971,1.0974,0.3503,0.3446,0.3482,0.3493,0.2306,0.2328,0.3503,0.3446,0.3482,0.3436,0.2737,0.2764,0.5194,0.535,0.5352,1.1455,1.0919,1.1154
5,8,0.001,LAMB,1.096,1.0935,1.0967,0.3577,0.3759,0.3726,0.3564,0.3801,0.3768,0.3577,0.3759,0.3726,0.3533,0.3652,0.3626,0.5289,0.5443,0.5342,1.1401,1.1322,1.1494
1,32,0.01,AdamW,1.2599,1.3846,1.3747,0.3397,0.3367,0.3395,0.3393,0.1134,0.1152,0.3397,0.3367,0.3395,0.3394,0.1697,0.1721,0.5034,0.517,0.5057,1.1397,1.2589,1.2661
2,32,0.01,AdamW,1.1421,1.1199,1.1199,0.3458,0.3084,0.3138,0.3443,0.2885,0.2466,0.3458,0.3084,0.3138,0.3439,0.1511,0.1514,0.5045,0.5155,0.4878,1.1406,1.3038,1.3032
3,32,0.01,AdamW,1.1184,1.1023,1.1073,0.3365,0.356,0.3464,0.3333,0.1268,0.12,0.3365,0.356,0.3464,0.3325,0.1869,0.1782,0.5018,0.5145,0.4986,1.1384,0.8025,0.8085
4,32,0.01,AdamW,1.1105,1.1032,1.1061,0.3322,0.3554,0.3503,0.3268,0.2566,0.2413,0.3322,0.3554,0.3503,0.3247,0.2721,0.2649,0.4991,0.5208,0.5014,1.137,1.1686,1.161
